part_id,part_name,part_class,supplier_id,business_unit,site,unit_cost,standard_lead_time_days,monthly_demand_units,safety_stock_units,criticality,lifecycle_state
PRT001,Space grade memory 001,Space grade memory,SUP004,Space electronics,Concord development,10578,96,19,12,Flight critical,Production
PRT002,Mechanical enclosure 002,Mechanical enclosure,SUP011,Space electronics,Chantilly production,1928,40,16,13,Program critical,Production
PRT003,Power subsystem 003,Power subsystem,SUP021,Optical sensors,Concord development,18479,189,31,27,Flight critical,NPI
PRT004,Space grade memory 004,Space grade memory,SUP007,Space electronics,Chantilly production,7596,145,63,42,Program critical,Sustainment
PRT005,RF module 005,RF module,SUP008,Optical sensors,Concord development,9250,67,29,23,Program critical,Sustainment
PRT006,Optical assembly 006,Optical assembly,SUP002,Space electronics,Concord development,24553,160,36,27,Flight critical,Production
PRT007,Cable harness 007,Cable harness,SUP010,Space electronics,Chantilly production,4071,35,17,12,Flight critical,Production
PRT008,Mechanical enclosure 008,Mechanical enclosure,SUP005,C4ISR systems,Chantilly production,6316,91,13,7,Program critical,Production
PRT009,Mechanical enclosure 009,Mechanical enclosure,SUP002,C4ISR systems,Fairfax HQ,2572,63,51,31,Flight critical,Production
PRT010,Space grade memory 010,Space grade memory,SUP029,Space electronics,Fairfax HQ,7406,103,55,25,Program critical,Production
PRT011,Optical assembly 011,Optical assembly,SUP005,Space electronics,Chantilly production,26848,198,39,22,Flight critical,Production
PRT012,RF module 012,RF module,SUP019,Optical sensors,Concord development,4613,80,58,46,Flight critical,Production
PRT013,Power subsystem 013,Power subsystem,SUP024,C4ISR systems,Concord development,12565,129,10,4,Flight critical,Production
PRT014,Mechanical enclosure 014,Mechanical enclosure,SUP021,C4ISR systems,Chantilly production,2172,67,71,57,Flight critical,Sustainment
PRT015,Mechanical enclosure 015,Mechanical enclosure,SUP024,C4ISR systems,Chantilly production,6594,83,10,3,Flight critical,Production
PRT016,Power subsystem 016,Power subsystem,SUP016,Space electronics,Fairfax HQ,11990,105,40,32,Standard,Production
PRT017,RF module 017,RF module,SUP015,Optical sensors,Fairfax HQ,6678,79,56,34,Flight critical,Production
PRT018,Cable harness 018,Cable harness,SUP001,C4ISR systems,Concord development,2034,58,48,40,Flight critical,Production
PRT019,Power subsystem 019,Power subsystem,SUP029,Space electronics,Concord development,6481,131,17,16,Flight critical,NPI
PRT020,Cable harness 020,Cable harness,SUP017,Space electronics,Concord development,2563,53,69,57,Program critical,Production
PRT021,Mechanical enclosure 021,Mechanical enclosure,SUP010,Space electronics,Chantilly production,5196,44,41,27,Standard,Production
PRT022,Power subsystem 022,Power subsystem,SUP021,Space electronics,Concord development,12796,174,34,25,Flight critical,Production
PRT023,RF module 023,RF module,SUP030,Space electronics,Chantilly production,6162,107,8,6,Standard,NPI
PRT024,RF module 024,RF module,SUP020,Optical sensors,Concord development,5376,49,45,32,Flight critical,Production
PRT025,RF module 025,RF module,SUP004,Optical sensors,Concord development,6363,90,9,5,Standard,NPI
PRT026,Cable harness 026,Cable harness,SUP027,C4ISR systems,Chantilly production,2518,43,69,60,Standard,Production
PRT027,Optical assembly 027,Optical assembly,SUP005,Optical sensors,Concord development,7560,206,13,6,Flight critical,Sustainment
PRT028,Optical assembly 028,Optical assembly,SUP017,C4ISR systems,Concord development,13119,140,52,37,Flight critical,Sustainment
PRT029,Space grade memory 029,Space grade memory,SUP012,Optical sensors,Fairfax HQ,11039,106,10,4,Flight critical,Production
PRT030,Radiation tolerant FPGA 030,Radiation tolerant FPGA,SUP028,Space electronics,Concord development,21193,150,60,34,Program critical,Production
PRT031,Cable harness 031,Cable harness,SUP027,C4ISR systems,Chantilly production,1118,36,45,42,Program critical,Production
PRT032,Space grade memory 032,Space grade memory,SUP003,C4ISR systems,Concord development,11289,122,23,12,Flight critical,NPI
PRT033,Optical assembly 033,Optical assembly,SUP003,Space electronics,Chantilly production,19713,191,33,25,Flight critical,Sustainment
PRT034,RF module 034,RF module,SUP005,Optical sensors,Concord development,9048,99,36,14,Flight critical,Production
